"","long","lat","tract","plot","biomass","biomass.fin","bio.ton","long.1","lat.1","tract.1","plot.1","biomass.1","optional"
"116",124.00233,13.00224,153,1,11629.8823990866,23259.7647981733,23.2597647981733,124.00233,13.00224,153,1,11629.8823990866,TRUE
"117",121.0023,12.75227,154,1,29141.6637472386,58283.3274944772,58.2833274944772,121.0023,12.75227,154,1,29141.6637472386,TRUE
"118",124.00232,12.75224,156,1,65420.0152390376,130840.030478075,130.840030478075,124.00232,12.75224,156,1,65420.0152390376,TRUE
"119",121.00229,12.50227,157,1,11358.9799292352,22717.9598584703,22.7179598584703,121.00229,12.50227,157,1,11358.9799292352,TRUE
"120",121.2523,12.50226,158,1,53382.8423405199,106765.68468104,106.76568468104,121.2523,12.50226,158,1,53382.8423405199,TRUE
"121",123.75232,12.50224,159,1,13818.9582336944,27637.9164673888,27.6379164673888,123.75232,12.50224,159,1,13818.9582336944,TRUE
"122",124.50233,12.50223,160,1,12678.5361675925,25357.0723351851,25.3570723351851,124.50233,12.50223,160,1,12678.5361675925,TRUE
"123",124.75233,12.50223,161,1,15509.3204542293,31018.6409084587,31.0186409084587,124.75233,12.50223,161,1,15509.3204542293,TRUE
"124",125.00232,12.50223,162,1,5073.42331694501,10146.84663389,10.14684663389,125.00232,12.50223,162,1,5073.42331694501,TRUE
"125",123.25231,12.25225,167,1,2585.48616453149,5170.97232906299,5.17097232906299,123.25231,12.25225,167,1,2585.48616453149,TRUE
"126",123.50231,12.25224,168,1,250.545799362887,501.091598725774,0.501091598725774,123.50231,12.25224,168,1,250.545799362887,TRUE
"127",124.50232,12.25223,170,1,25488.4199374522,50976.8398749044,50.9768398749044,124.50232,12.25223,170,1,25488.4199374522,TRUE
"128",124.75232,12.25223,171,1,17971.1279928086,35942.2559856171,35.9422559856171,124.75232,12.25223,171,1,17971.1279928086,TRUE
"129",125.00232,12.25223,172,1,151073.691958931,302147.383917863,302.147383917863,125.00232,12.25223,172,1,151073.691958931,TRUE
"130",125.25232,12.25223,173,1,14411.9423009358,28823.8846018716,28.8238846018716,125.25232,12.25223,173,1,14411.9423009358,TRUE
"131",123.25231,12.00225,174,1,348.608877486715,697.217754973429,0.697217754973429,123.25231,12.00225,174,1,348.608877486715,TRUE
"132",123.75231,12.00224,175,1,5122.87067020966,10245.7413404193,10.2457413404193,123.75231,12.00224,175,1,5122.87067020966,TRUE
"133",124.75231,12.00223,177,1,2106.4098853938,4212.81977078759,4.21281977078759,124.75231,12.00223,177,1,2106.4098853938,TRUE
"134",125.25232,12.00223,179,1,276672.531944509,553345.063889019,553.345063889019,125.25232,12.00223,179,1,276672.531944509,TRUE
